ID HPO,Nombre d'apparition,Pourcentage,Libellé,Nombre de gene associé (a ce hp),Nombre de présence dans les maladies,Genes
HP:0003566,2,0.04361098996947231,Increased serum prostaglandin E2,2
HP:0011970,1,0.021805494984736155,Cerebral amyloid angiopathy,1
HP:0003565,5,0.10902747492368076,Elevated erythrocyte sedimentation rate,5
HP:0011976,2,0.04361098996947231,Elevated urinary catecholamines,2
HP:0003560,9,0.19624945486262538,Muscular dystrophy,9
HP:0003561,2,0.04361098996947231,Birth length less than 3rd percentile,2
HP:0001403,4,0.08722197993894462,Macrovesicular hepatic steatosis,4
HP:0002585,1,0.021805494984736155,Abnormality of the peritoneum,1
HP:0002584,2,0.04361098996947231,Intestinal bleeding,2
HP:0003298,24,0.5233318796336677,Spina bifida occulta,24
HP:0010978,15,0.3270824247710423,Abnormality of immune system physiology,15
HP:0000979,7,0.15263846489315308,Purpura,7
HP:0000729,16,0.3488879197557785,Autistic behavior,16
HP:0030010,3,0.06541648495420846,Hydrometrocolpos,3
HP:0003297,1,0.021805494984736155,Hyperlysinuria,1
HP:0001401,3,0.06541648495420846,Intrahepatic biliary dysgenesis,3
HP:0005932,1,0.021805494984736155,Abnormal renal corticomedullary differentiation,1
HP:0011087,1,0.021805494984736155,Talon cusp,1
HP:0000722,7,0.15263846489315308,Obsessive-compulsive behavior,7
HP:0000725,1,0.021805494984736155,Psychotic episodes,1
HP:0006361,1,0.021805494984736155,Irregular femoral epiphysis,1
HP:0000726,21,0.45791539467945924,Dementia,21
HP:0002909,8,0.17444395987788924,Generalized aminoaciduria,8
HP:0002908,2,0.04361098996947231,Conjugated hyperbilirubinemia,2
HP:0003292,3,0.06541648495420846,Decreased serum leptin,3
HP:0100736,3,0.06541648495420846,Abnormal soft palate morphology,3
HP:0002902,18,0.39249890972525076,Hyponatremia,18
HP:0002901,17,0.3706934147405146,Hypocalcemia,17
HP:0002900,25,0.5451373746184038,Hypokalemia,25
HP:0002907,6,0.13083296990841692,Microscopic hematuria,6
HP:0011573,1,0.021805494984736155,Hypoplastic tricuspid valve,1
HP:0002905,12,0.26166593981683384,Hyperphosphatemia,12
HP:0002904,6,0.13083296990841692,Hyperbilirubinemia,6
HP:0003180,3,0.06541648495420846,Flat acetabular roof,3
HP:0003182,2,0.04361098996947231,Shallow acetabular fossae,2
HP:0003183,3,0.06541648495420846,Wide pubic symphysis,3
HP:0004408,4,0.08722197993894462,Abnormality of the sense of smell,4
HP:0004409,8,0.17444395987788924,Hyposmia,8
HP:0003186,4,0.08722197993894462,Inverted nipples,4
HP:0002586,5,0.10902747492368076,Peritonitis,5
HP:0009124,3,0.06541648495420846,Abnormal adipose tissue morphology,3
HP:0003189,12,0.26166593981683384,Long nose,12
HP:0004406,3,0.06541648495420846,"Spontaneous, recurrent epistaxis",3
HP:0009467,1,0.021805494984736155,Radial deviation of the 2nd finger,1
HP:0003115,2,0.04361098996947231,Abnormal EKG,2
HP:0002763,2,0.04361098996947231,Abnormal cartilage morphology,2
HP:0002761,8,0.17444395987788924,Generalized joint laxity,8
HP:0011979,7,0.15263846489315308,Elevated urinary dopamine,7
HP:0003978,1,0.021805494984736155,Fractured radius,1
HP:0002764,2,0.04361098996947231,Stippled chondral calcification,2
HP:0003113,6,0.13083296990841692,Hypochloremia,6
HP:0003362,2,0.04361098996947231,Increased VLDL cholesterol concentration,2
HP:0003363,2,0.04361098996947231,Abdominal situs inversus,2
HP:0011228,1,0.021805494984736155,Horizontal eyebrow,1
HP:0004324,1,0.021805494984736155,Increased body weight,1
HP:0007109,1,0.021805494984736155,Periventricular cysts,1
HP:0005613,2,0.04361098996947231,Aplasia/hypoplasia of the femur,2
HP:0007335,1,0.021805494984736155,Recurrent encephalopathy,1
HP:0003162,5,0.10902747492368076,Fasting hypoglycemia,5
HP:0003163,1,0.021805494984736155,Elevated urinary delta-aminolevulinic acid,1
HP:0008451,1,0.021805494984736155,Posterior vertebral hypoplasia,1
HP:0002580,6,0.13083296990841692,Volvulus,6
HP:0008456,1,0.021805494984736155,C2-C3 subluxation,1
HP:0003164,4,0.08722197993894462,Hypothalamic gonadotropin-releasing hormone deficiency,4
HP:0003165,10,0.2180549498473615,Elevated circulating parathyroid hormone level,10
HP:0007766,2,0.04361098996947231,Optic disc hypoplasia,2
HP:0005416,2,0.04361098996947231,Decreased serum complement factor B,2
HP:0011401,1,0.021805494984736155,Delayed peripheral myelination,1
HP:0011405,1,0.021805494984736155,Childhood onset short-limb short stature,1
HP:0009126,1,0.021805494984736155,Increased adipose tissue,1
HP:0002344,5,0.10902747492368076,Progressive neurologic deterioration,5
